Unnamed: 0,DS,# of Total rows,# of rows that are NOT different from Non-mod (correct values),# of rows that are different from Non-mod (incorrect values),# of uniques rows,# of unique rows that are NOT different from Non-mod (correct values),# of unique rows that are different from Non-mod (incorrect values),# of unique rows that are NOT covered by rules,# of unique rows  that are covered by rules,# of unique rows that VIOLATE rules,% coverage,# of Rules,Total # of rules Matched (LHS and RHS),Total # of rules Violated (LHS match but NOT RHS),M-intersection-V,Total # of rules used (MUV),Total # of rules NOT used
0,FS1\fs1_original,71604,71604,0,47,47,0,12,35,0,74.46808510638297,16,16,0,0,16,0
1,fs1_Mod1_p,71604,59722,11882,45,17,28,12,33,0,73.33333333333333,16,16,0,0,16,0
2,fs1_Mod2_e,37786,31396,6390,25,24,1,4,21,1,84.0,16,16,4,4,16,0
3,fs1_Mod3_s,71604,28199,43405,47,1,46,22,25,0,53.19148936170214,16,16,0,0,16,0
4,fs1_Mod4_pes,7160,1663,5497,4,1,3,1,3,1,75.0,16,16,4,4,16,0
5,fs1_Mod5_pe,37786,29994,7792,26,12,14,7,19,1,73.07692307692307,16,16,4,4,16,0
6,fs1_Mod6_ps,71604,28199,43405,45,1,44,20,25,0,55.555555555555564,16,16,0,0,16,0
7,fs1_Mod7_es,7160,1663,5497,6,1,5,2,4,1,66.66666666666666,16,16,4,4,16,0
0,FS2\fs2_original,71604,71604,0,76,76,0,4,72,0,94.73684210526315,38,38,0,0,38,0
1,fs2_Mod1_p,71604,59722,11882,73,30,43,4,69,0,94.52054794520548,38,38,0,0,38,0
2,fs2_Mod2_e,37786,31396,6390,33,31,2,3,30,2,90.9090909090909,38,38,5,5,38,0
3,fs2_Mod3_s,71604,28199,43405,76,2,74,9,67,0,88.1578947368421,38,38,0,0,38,0
4,fs2_Mod4_pes,7160,1663,5497,7,2,5,2,5,2,71.42857142857143,38,38,5,5,38,0
5,fs2_Mod5_pe,37786,29994,7792,33,13,20,3,30,2,90.9090909090909,38,38,5,5,38,0
6,fs2_Mod6_ps,71604,28199,43405,73,2,71,9,64,0,87.67123287671231,38,38,0,0,38,0
7,fs2_Mod7_es,7160,1663,5497,9,2,7,2,7,2,77.7777777777778,38,38,5,5,38,0
0,FS3\fs3_original,71604,71604,0,320,320,0,0,320,0,100.0,459,459,0,0,459,0
1,fs3_Mod1_p,71604,59722,11882,232,135,97,0,232,0,100.0,459,459,0,0,459,0
2,fs3_Mod2_e,37786,31396,6390,108,88,20,2,106,33,98.14814814814815,459,459,86,86,459,0
3,fs3_Mod3_s,71604,28199,43405,320,83,237,0,320,21,100.0,459,459,98,98,459,0
4,fs3_Mod4_pes,7160,1663,5497,14,8,6,2,12,5,85.71428571428571,459,459,122,122,459,0
5,fs3_Mod5_pe,37786,29994,7792,106,60,46,2,104,33,98.1132075471698,459,459,86,86,459,0
6,fs3_Mod6_ps,71604,28199,43405,232,76,156,0,232,21,100.0,459,459,98,98,459,0
7,fs3_Mod7_es,7160,1663,5497,17,9,8,2,15,7,88.23529411764706,459,459,122,122,459,0
0,FS4\fs4_original,71604,71604,0,320,320,0,0,320,0,100.0,712,712,0,0,712,0
1,fs4_Mod1_p,71604,59722,11882,308,142,166,0,308,38,100.0,712,712,12,12,712,0
2,fs4_Mod2_e,37786,31396,6390,108,88,20,0,108,33,100.0,712,712,155,155,712,0
3,fs4_Mod3_s,71604,28199,43405,320,83,237,0,320,21,100.0,712,712,98,98,712,0
4,fs4_Mod4_pes,7160,1663,5497,16,8,8,1,15,8,93.75,712,712,179,179,712,0
5,fs4_Mod5_pe,37786,29994,7792,119,60,59,0,119,45,100.0,712,712,167,167,712,0
6,fs4_Mod6_ps,71604,28199,43405,308,76,232,0,308,59,100.0,712,712,110,110,712,0
7,fs4_Mod7_es,7160,1663,5497,17,9,8,1,16,7,94.11764705882351,712,712,176,176,712,0
0,FS5\fs5_original,71604,71604,0,320,320,0,0,320,0,100.0,1489,1489,0,0,1489,0
1,fs5_Mod1_p,71604,59722,11882,398,209,189,0,398,38,100.0,1489,1489,12,12,1489,0
2,fs5_Mod2_e,37786,31396,6390,108,88,20,0,108,33,100.0,1489,1489,237,237,1489,0
3,fs5_Mod3_s,71604,28199,43405,320,83,237,0,320,21,100.0,1489,1489,288,288,1489,0
4,fs5_Mod4_pes,7160,1663,5497,17,9,8,1,16,8,94.11764705882351,1489,1489,326,326,1489,0
5,fs5_Mod5_pe,37786,29994,7792,133,67,66,0,133,51,100.0,1489,1489,249,249,1489,0
6,fs5_Mod6_ps,71604,28199,43405,398,119,279,0,398,59,100.0,1489,1489,300,300,1489,0
7,fs5_Mod7_es,7160,1663,5497,17,9,8,1,16,7,94.11764705882351,1489,1489,323,323,1489,0
