,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
57,"('isEmpty_p == ""False""', 'peek_obj_type == ""EmptyObject""', 'size == ""0""')",3,"('pushInput == ""none""',)",1,1.0,0.240625,1.748633879781421,428124999.99999994
58,"('isEmpty_p == ""False""', 'peek_obj_type == ""EmptyObject""', 'pushInput == ""none""')",3,"('size == ""0""',)",1,1.0,0.240625,3.8554216867469884,740624999.9999999
59,"('isEmpty_p == ""False""', 'size == ""0""')",2,"('peek_obj_type == ""EmptyObject""', 'pushInput == ""none""')",2,1.0,0.240625,3.8554216867469884,740624999.9999999
60,"('isEmpty_p == ""False""', 'peek_obj_type == ""EmptyObject""')",2,"('pushInput == ""none""', 'size == ""0""')",2,1.0,0.240625,3.8554216867469884,740624999.9999999
61,"('calledMethod == ""pop""', 'calledMethod_p == ""push""', 'isEmpty == ""False""')",3,"('isEmpty_p == ""False""',)",1,1.0,0.2375,1.092150170648464,84374999.99999997
62,"('isEmpty == ""True""',)",1,"('pushInput == ""none""',)",1,1.0,0.259375,1.7486338797814212,428124999.99999994
63,"('peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""',)",1,"('isEmpty_p == ""False""',)",1,1.0,0.228125,1.0921501706484642,84374999.99999997
64,"('size == ""2""',)",1,"('isEmpty_p == ""False""',)",1,1.0,0.240625,1.0921501706484642,84374999.99999997
65,"('isEmpty_p == ""False""', 'peek_obj_type == ""EmptyObject""', 'size == ""0""')",3,"('isEmpty == ""True""',)",1,1.0,0.240625,3.8554216867469884,740624999.9999999
66,"('isEmpty == ""True""', 'isEmpty_p == ""False""', 'size == ""0""')",3,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.240625,3.8554216867469884,740624999.9999999
67,"('isEmpty == ""True""', 'isEmpty_p == ""False""', 'peek_obj_type == ""EmptyObject""')",3,"('size == ""0""',)",1,1.0,0.240625,3.8554216867469884,740624999.9999999
68,"('isEmpty == ""True""', 'isEmpty_p == ""False""')",2,"('pushInput == ""none""',)",1,1.0,0.240625,1.748633879781421,428124999.99999994
69,"('isEmpty == ""False""', 'pushInput == ""none""')",2,"('calledMethod == ""pop""',)",1,1.0,0.3125,2.644628099173554,621874999.9999999
70,"('calledMethod == ""pop""', 'isEmpty == ""False""')",2,"('pushInput == ""none""',)",1,1.0,0.3125,1.7486338797814207,428124999.99999994
71,"('isEmpty_p == ""False""', 'size == ""0""')",2,"('isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""')",2,1.0,0.240625,3.8554216867469884,740624999.9999999
72,"('isEmpty_p == ""False""', 'peek_obj_type == ""EmptyObject""')",2,"('isEmpty == ""True""', 'size == ""0""')",2,1.0,0.240625,3.8554216867469884,740624999.9999999
73,"('isEmpty == ""True""', 'isEmpty_p == ""False""')",2,"('peek_obj_type == ""EmptyObject""', 'size == ""0""')",2,1.0,0.240625,3.8554216867469884,740624999.9999999
74,"('calledMethod_p == ""pop""',)",1,"('pushInput_p == ""none""',)",1,1.0,0.278125,3.1067961165048543,678124999.9999999
75,"('pushInput == ""none""', 'size == ""0""')",2,"('isEmpty == ""True""',)",1,1.0,0.259375,3.8554216867469884,740624999.9999999
76,"('isEmpty == ""True""', 'size == ""0""')",2,"('pushInput == ""none""',)",1,1.0,0.259375,1.7486338797814212,428124999.99999994
77,"('isEmpty == ""True""', 'pushInput == ""none""')",2,"('size == ""0""',)",1,1.0,0.259375,3.8554216867469884,740624999.9999999
78,"('size == ""0""',)",1,"('isEmpty == ""True""', 'pushInput == ""none""')",2,1.0,0.259375,3.8554216867469884,740624999.9999999
79,"('isEmpty == ""True""',)",1,"('pushInput == ""none""', 'size == ""0""')",2,1.0,0.259375,3.8554216867469884,740624999.9999999
80,"('calledMethod_p == ""push""', 'isEmpty == ""False""', 'isEmpty_p == ""False""', 'pushInput == ""none""')",4,"('calledMethod == ""pop""',)",1,1.0,0.2375,2.644628099173554,621874999.9999999
81,"('calledMethod == ""pop""', 'calledMethod_p == ""push""', 'isEmpty == ""False""', 'pushInput == ""none""')",4,"('isEmpty_p == ""False""',)",1,1.0,0.2375,1.092150170648464,84374999.99999997
82,"('calledMethod == ""pop""', 'calledMethod_p == ""push""', 'isEmpty == ""False""', 'isEmpty_p == ""False""')",4,"('pushInput == ""none""',)",1,1.0,0.2375,1.7486338797814205,428124999.99999994
83,"('calledMethod_p == ""push""', 'isEmpty == ""False""', 'pushInput == ""none""')",3,"('calledMethod == ""pop""', 'isEmpty_p == ""False""')",2,1.0,0.2375,2.711864406779661,631249999.9999999
84,"('calledMethod == ""pop""', 'calledMethod_p == ""push""', 'isEmpty == ""False""')",3,"('isEmpty_p == ""False""', 'pushInput == ""none""')",2,1.0,0.2375,1.8079096045197738,446875000.0
