,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId
53,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:bed95e1b-d024-4776-8fa0-7a6809a2b2a6
54,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:bed95e1b-d024-4776-8fa0-7a6809a2b2a6
55,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:bed95e1b-d024-4776-8fa0-7a6809a2b2a6
69,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:79dc3983-b886-437b-b06c-730038c5ff7f
70,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:79dc3983-b886-437b-b06c-730038c5ff7f
75,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:462ce6f8-b849-4312-87c8-35b4cbfc8841
124,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597059728733:0bc575c6-7524-4c65-982f-5a8512980145,1597059728733:820e153b-78d3-4294-bd74-73cea6be1dab
125,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597059728733:0bc575c6-7524-4c65-982f-5a8512980145,1597059728733:820e153b-78d3-4294-bd74-73cea6be1dab
142,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597059728732:d3cfdd52-cbbe-4c8c-b9fa-333609b2f2d4,1597059728732:ad344f5e-a2b8-47cb-a9c0-087e9385a0d8
285,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597059728731:ebf47e13-f758-46a0-a4b1-2a059448b77f,1597059728731:fab3a02d-1919-496a-bc2f-542a156d4ee8
286,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597059728731:ebf47e13-f758-46a0-a4b1-2a059448b77f,1597059728731:fab3a02d-1919-496a-bc2f-542a156d4ee8
374,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597059728731:49003649-0560-43c7-8e56-b9d6d1741448,1597059728731:3a5573d5-69cc-4f89-b49a-4bd088b7fa50
414,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597059728730:d3ee54de-3039-467d-a5ed-4e5d674e09a9,1597059728730:38f1902a-bcf3-4f35-9dc6-7ae5bebd3da8
