,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId
820,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",Yes,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274447:4dc7d0b7-39cc-4fdb-95c6-e107fbef078e
821,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",No,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274447:4dc7d0b7-39cc-4fdb-95c6-e107fbef078e
842,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597044274447:556fac5a-643f-49b9-9e3e-079b134dbeed,1597044274447:e3dc933d-2fc3-4f96-bd7e-cfafcc06364a
1223,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",No,1597044274443:01004c57-6771-4545-b036-6ad9524d99a8,1597044274443:9a5c8973-67c3-464c-8082-066da170bf64
1247,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597044274443:01004c57-6771-4545-b036-6ad9524d99a8,1597044274443:5ff97d9d-e716-4ae3-a27d-0365b8d28274
1248,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597044274443:01004c57-6771-4545-b036-6ad9524d99a8,1597044274443:5ff97d9d-e716-4ae3-a27d-0365b8d28274
1680,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",Yes,1597044274439:b941ad9f-8f0f-4ee2-9475-07133bb7caab,1597044274439:383fd359-ce07-453a-9ccd-7abf9177716e
1681,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597044274439:b941ad9f-8f0f-4ee2-9475-07133bb7caab,1597044274439:383fd359-ce07-453a-9ccd-7abf9177716e
1953,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",No,1597044274436:fdd97a1f-8939-4327-969c-ef72f3d48b79,1597044274436:e88313f5-c9e7-46b1-8695-3f6d1bc2c319
1987,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597044274436:b0f9a290-b2b6-4928-9bdf-5deaa5ff1d48,1597044274436:b27bb558-d4d4-482e-9259-fb277a452315
2203,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",No,1597044274435:ae7118cb-2a87-4ba9-8734-50070761eee3,1597044274435:c995f447-36f8-45ab-8d1b-409e3077c8f1
2298,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""",Yes,1597044274434:931fec42-3c47-4ab3-9c33-67b361dc97a1,1597044274434:0bf9c809-b56e-4050-b4e1-96e4dab6a9da
2727,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597044274430:2ba3715f-05ef-40ec-b4a4-715932900523,1597044274430:9f0f1b39-fa45-4bed-ba41-f1fcc8706395
4058,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",No,1597044274419:04a0c4c3-b206-486a-a041-d06cd79c1e0d,1597044274419:fe682309-26fe-4e86-9e47-413e1a6f5fc9
4059,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597044274419:04a0c4c3-b206-486a-a041-d06cd79c1e0d,1597044274419:fe682309-26fe-4e86-9e47-413e1a6f5fc9
