Unnamed: 0,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('size == ""2""',)",1,"('isEmpty == ""False""',)",1,1.0,0.2368421052631579,1.027027027027027,26315789.47368418
1,"('size == ""1""',)",1,"('isEmpty == ""False""',)",1,1.0,0.27631578947368424,1.027027027027027,26315789.47368418
2,"('calledMethod == ""push""',)",1,"('isEmpty == ""False""',)",1,1.0,0.6052631578947368,1.027027027027027,26315789.47368418
3,"('size == ""3""',)",1,"('isEmpty == ""False""',)",1,1.0,0.2236842105263158,1.027027027027027,26315789.47368418
0,"('size == ""0""',)",1,"('isEmpty == ""True""',)",1,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
1,"('isEmpty == ""True""',)",1,"('size == ""0""',)",1,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
2,"('peek_obj_type == ""EmptyObject""', 'size == ""0""')",2,"('isEmpty == ""True""',)",1,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
3,"('isEmpty == ""True""', 'size == ""0""')",2,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
4,"('isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""')",2,"('size == ""0""',)",1,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
5,"('calledMethod == ""clear""',)",1,"('size == ""0""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
6,"('size == ""0""',)",1,"('isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""')",2,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
7,"('peek_obj_type == ""EmptyObject""',)",1,"('isEmpty == ""True""', 'size == ""0""')",2,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
8,"('isEmpty == ""True""',)",1,"('peek_obj_type == ""EmptyObject""', 'size == ""0""')",2,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
9,"('calledMethod == ""push""', 'peek_obj_type == ""class java.lang.Float""')",2,"('isEmpty == ""False""',)",1,1.0,0.2067621920563097,1.6496716968091234,393818781.073683
10,"('calledMethod == ""clear""', 'size == ""0""')",2,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
11,"('calledMethod == ""clear""', 'peek_obj_type == ""EmptyObject""')",2,"('size == ""0""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
12,"('calledMethod == ""clear""',)",1,"('peek_obj_type == ""EmptyObject""', 'size == ""0""')",2,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
13,"('calledMethod == ""push""',)",1,"('isEmpty == ""False""',)",1,1.0,0.549005642142897,1.6496716968091232,393818781.073683
14,"('size == ""0""',)",1,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
15,"('size == ""1""',)",1,"('isEmpty == ""False""',)",1,1.0,0.4080777610189375,1.6496716968091234,393818781.073683
16,"('peek_obj_type == ""class java.lang.Float""',)",1,"('isEmpty == ""False""',)",1,1.0,0.22701245740461426,1.6496716968091234,393818781.073683
17,"('isEmpty == ""True""',)",1,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
18,"('peek_obj_type == ""EmptyObject""',)",1,"('isEmpty == ""True""',)",1,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
19,"('calledMethod == ""clear""', 'peek_obj_type == ""EmptyObject""')",2,"('isEmpty == ""True""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
20,"('calledMethod == ""clear""',)",1,"('isEmpty == ""True""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
21,"('calledMethod == ""clear""', 'isEmpty == ""True""')",2,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
22,"('calledMethod == ""clear""',)",1,"('isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""')",2,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
23,"('calledMethod == ""clear""', 'peek_obj_type == ""EmptyObject""', 'size == ""0""')",3,"('isEmpty == ""True""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
24,"('calledMethod == ""clear""',)",1,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
25,"('calledMethod == ""clear""', 'isEmpty == ""True""', 'size == ""0""')",3,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
26,"('calledMethod == ""clear""', 'isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""')",3,"('size == ""0""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
27,"('calledMethod == ""clear""', 'size == ""0""')",2,"('isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""')",2,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
28,"('calledMethod == ""clear""', 'peek_obj_type == ""EmptyObject""')",2,"('isEmpty == ""True""', 'size == ""0""')",2,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
29,"('calledMethod == ""clear""', 'isEmpty == ""True""')",2,"('peek_obj_type == ""EmptyObject""', 'size == ""0""')",2,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
30,"('calledMethod == ""clear""',)",1,"('isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""', 'size == ""0""')",3,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
31,"('calledMethod == ""clear""', 'size == ""0""')",2,"('isEmpty == ""True""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
32,"('calledMethod == ""clear""', 'isEmpty == ""True""')",2,"('size == ""0""',)",1,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
33,"('calledMethod == ""clear""',)",1,"('isEmpty == ""True""', 'size == ""0""')",2,1.0,0.22893972403776325,2.5392389801056767,606181218.9263169
34,"('peek_obj_type == ""EmptyObject""',)",1,"('size == ""0""',)",1,1.0,0.39381878107368296,2.5392389801056767,606181218.9263169
35,"('calledMethod == ""push""', 'size == ""1""')",2,"('isEmpty == ""False""',)",1,1.0,0.3684710351377018,1.6496716968091234,393818781.073683
