,index,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,0,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes,1597050830315:d9d7c290-d201-4637-a0ea-df378184cd1c,1597050830315:66f252e1-578a-4ee9-95e0-447339483317,4,"['1', '8', '13', '17']",0,,4,"['1', '8', '13', '17']"
1,1,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes,1597050830315:d9d7c290-d201-4637-a0ea-df378184cd1c,1597050830315:66f252e1-578a-4ee9-95e0-447339483317,3,"['1', '8', '17']",0,,3,"['1', '8', '17']"
2,2,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597050830315:a7ec5d7b-ffd8-4acb-a8ad-a6e0dac16ffa,1597050830315:ec49afab-ebbb-4b1a-b982-5b53c5a56259,0,,3,"['9', '13', '16']",0,
3,4,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597050830314:f1612ca6-7fa4-4ad7-950f-4c7dddc7484f,1597050830314:ef2d32af-432a-4096-ab74-1fff11aaffbc,0,,3,"['9', '13', '16']",0,
4,5,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597050830307:18ec4504-96a4-46bf-b713-dc92279c7651,1597050830307:facb19e9-ca66-46b2-bb35-23e9b0f11fdc,0,,1,['16'],0,
