,index,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,2,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:9a7010e9-46cf-4213-b929-cade0592455f,0,,3,"['9', '13', '16']",0,
1,7,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:5a43a388-e7db-4172-9941-3c8b2890d9bc,0,,1,['13'],0,
2,9,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:2a5b1798-dde6-454b-bf38-fd068def5bc7,0,,1,['13'],0,
3,10,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:2a5b1798-dde6-454b-bf38-fd068def5bc7,0,,0,,0,
4,12,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597044274454:5c0026a7-ec49-4525-9cb7-34b731bb9574,1597044274454:6aab9267-7da0-448f-9fef-9cb160e8174f,0,,1,['13'],0,
5,13,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597044274454:5c0026a7-ec49-4525-9cb7-34b731bb9574,1597044274454:6aab9267-7da0-448f-9fef-9cb160e8174f,0,,3,"['9', '13', '16']",0,
6,16,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:9d4dcb56-ab60-4230-8df8-4cd98d3b6949,0,,1,['13'],0,
7,17,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:906ab1c0-dae7-49f6-8e82-1eaef1f2fdff,0,,1,['13'],0,
8,18,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:5c1f63eb-96d7-4c1e-aafe-5292dbec39a1,0,,1,['13'],0,
9,19,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:5c1f63eb-96d7-4c1e-aafe-5292dbec39a1,0,,1,['13'],0,
10,20,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:5c1f63eb-96d7-4c1e-aafe-5292dbec39a1,0,,0,,0,
11,22,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:478b4e2f-d31e-41f3-8ba8-405163c63fe1,0,,1,['13'],0,
12,24,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597044274452:38df6050-20bb-4b6b-9a48-f4bb4227bc8e,1597044274452:30961749-9a71-40fa-b41b-631d516c41c7,0,,1,['13'],0,
13,25,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597044274451:f38f31dc-8862-4bad-9eb4-fa9179a7f4a7,1597044274451:7d9f9402-31dc-431d-949e-5bac8c792167,0,,3,"['9', '13', '16']",0,
14,26,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597044274451:f38f31dc-8862-4bad-9eb4-fa9179a7f4a7,1597044274451:7d9f9402-31dc-431d-949e-5bac8c792167,0,,0,,0,
15,31,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes,1597044274448:6fbaa2a1-1ce7-4e5f-8da7-f1ebf5f92210,1597044274448:908ab386-d2cc-4a71-a761-788854014c48,0,,1,['13'],0,
16,32,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597044274448:6fbaa2a1-1ce7-4e5f-8da7-f1ebf5f92210,1597044274448:05a3a965-2eb0-4bbb-90cf-ca32c04850c1,0,,1,['13'],0,
17,33,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597044274448:6fbaa2a1-1ce7-4e5f-8da7-f1ebf5f92210,1597044274448:05a3a965-2eb0-4bbb-90cf-ca32c04850c1,0,,0,,0,
18,35,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274447:4dc7d0b7-39cc-4fdb-95c6-e107fbef078e,0,,1,['13'],0,
19,36,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",Yes,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274447:4dc7d0b7-39cc-4fdb-95c6-e107fbef078e,0,,1,['13'],0,
20,38,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597044274447:556fac5a-643f-49b9-9e3e-079b134dbeed,1597044274447:e3dc933d-2fc3-4f96-bd7e-cfafcc06364a,0,,1,['16'],0,
21,40,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597044274443:01004c57-6771-4545-b036-6ad9524d99a8,1597044274443:5ff97d9d-e716-4ae3-a27d-0365b8d28274,0,,1,['13'],0,
22,41,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597044274443:01004c57-6771-4545-b036-6ad9524d99a8,1597044274443:5ff97d9d-e716-4ae3-a27d-0365b8d28274,0,,1,['13'],0,
23,42,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",Yes,1597044274439:b941ad9f-8f0f-4ee2-9475-07133bb7caab,1597044274439:383fd359-ce07-453a-9ccd-7abf9177716e,0,,1,['13'],0,
24,43,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597044274439:b941ad9f-8f0f-4ee2-9475-07133bb7caab,1597044274439:383fd359-ce07-453a-9ccd-7abf9177716e,0,,1,['13'],0,
25,45,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597044274436:b0f9a290-b2b6-4928-9bdf-5deaa5ff1d48,1597044274436:b27bb558-d4d4-482e-9259-fb277a452315,0,,0,,0,
26,47,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""",Yes,1597044274434:931fec42-3c47-4ab3-9c33-67b361dc97a1,1597044274434:0bf9c809-b56e-4050-b4e1-96e4dab6a9da,0,,0,,0,
27,48,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597044274430:2ba3715f-05ef-40ec-b4a4-715932900523,1597044274430:9f0f1b39-fa45-4bed-ba41-f1fcc8706395,0,,1,['13'],0,
28,50,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597044274419:04a0c4c3-b206-486a-a041-d06cd79c1e0d,1597044274419:fe682309-26fe-4e86-9e47-413e1a6f5fc9,0,,1,['13'],0,
29,51,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597044274412:b207176a-b52b-4f44-be9b-8636f117e4f1,1597044274412:dc43c221-34ba-46ef-99dc-ae542ec61e86,0,,1,['16'],0,
30,52,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes,1597044274411:839bcd50-e6c3-48fa-9b34-19d43fc6a855,1597044274412:8e485625-3a1e-45f6-b7f8-cf9f8d17d314,0,,0,,0,
31,54,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597044274406:042a4c6b-153e-48dd-9281-5548748b3d26,1597044274406:e5d9f0c3-0558-432a-a6a7-cb9c5f88a610,0,,1,['13'],0,
32,58,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""",Yes,1597044274389:495701f1-f97f-455f-a35d-c6fc320423e8,1597044274390:5b6373d9-c3c4-4daa-8ac0-1db9f74311b4,0,,0,,0,
33,59,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597044274388:a76c0ee8-ca11-4052-908e-36f695248c61,1597044274388:06306926-a478-487a-b5d0-c24e6ee60e39,0,,0,,0,
34,60,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597044274382:028bdfd4-a69e-4652-b514-e9c05b448fe4,1597044274382:af13f09a-2852-48f3-a2fb-a44e7c740cbc,0,,1,['13'],0,
35,63,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597044274273:b031b9bf-7f31-4b5a-9fc8-cf0d94be722d,1597044274273:fbf455ac-8da7-4476-8b75-09c51d77692c,0,,1,['13'],0,
36,65,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",Yes,1597044274207:4090f2fc-a3e5-429a-949a-8c8c84b92855,1597044274207:801fd5d5-8605-4c0e-a908-3cb6c870f1e2,0,,0,,0,
37,66,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""",Yes,1597044274192:c4db44e6-3be2-4ad0-9871-16a8e3e4ee1a,1597044274192:fdaa3426-4260-49bf-8e22-dccd50101c68,0,,0,,0,
38,67,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""",Yes,1597044274179:e1981ede-127f-4fbc-9096-eef834754192,1597044274179:3273f889-f813-42cb-9e21-156a0a086b94,0,,0,,0,
39,68,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597044274178:c9867c0e-54e0-4f31-a0ec-adacb1711f32,1597044274178:7e9b3284-e402-4b5f-b85a-54664ebde336,0,,1,['13'],0,
40,70,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597044274122:683b2e16-0346-42a9-a29b-94d512b57a2f,1597044274122:08efda25-8685-4e30-af8a-8d2717fb7f83,0,,1,['13'],0,
41,71,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597044274064:3700a3f5-e6b9-4041-b826-674094a6f175,1597044274064:f7709a42-77f2-4596-aba6-16cb90170663,0,,1,['13'],0,
42,72,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597044274062:0e0f1dc0-36d8-4038-8ab7-e1eb32f2da2b,1597044274062:488cfe00-3587-4e7b-813d-5e02596c71e2,0,,0,,0,
