,index,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
19,21,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597059728733:0bc575c6-7524-4c65-982f-5a8512980145,1597059728733:820e153b-78d3-4294-bd74-73cea6be1dab,0,,1,['13'],0,
20,22,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597059728733:0bc575c6-7524-4c65-982f-5a8512980145,1597059728733:820e153b-78d3-4294-bd74-73cea6be1dab,0,,3,"['9', '13', '16']",0,
21,23,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597059728732:d3cfdd52-cbbe-4c8c-b9fa-333609b2f2d4,1597059728732:ad344f5e-a2b8-47cb-a9c0-087e9385a0d8,0,,1,['16'],0,
22,24,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597059728731:ebf47e13-f758-46a0-a4b1-2a059448b77f,1597059728731:fab3a02d-1919-496a-bc2f-542a156d4ee8,0,,3,"['9', '13', '16']",0,
23,25,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597059728731:ebf47e13-f758-46a0-a4b1-2a059448b77f,1597059728731:fab3a02d-1919-496a-bc2f-542a156d4ee8,0,,0,,0,
24,26,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597059728731:49003649-0560-43c7-8e56-b9d6d1741448,1597059728731:3a5573d5-69cc-4f89-b49a-4bd088b7fa50,0,,1,['13'],0,
25,27,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597059728730:d3ee54de-3039-467d-a5ed-4e5d674e09a9,1597059728730:38f1902a-bcf3-4f35-9dc6-7ae5bebd3da8,0,,1,['13'],0,
26,28,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597059728729:91795ee4-b95a-4b20-81ff-041bd9d95748,1597059728729:6cdff1f5-1007-41ec-a958-f9f4253e65f9,0,,1,['16'],0,
27,29,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","calledMethod == ""push""",Yes,1597059728729:91795ee4-b95a-4b20-81ff-041bd9d95748,1597059728729:64f6ef2a-ab89-4a70-9c62-3f1e542c754f,0,,1,['13'],0,
28,30,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""",Yes,1597059728728:f845ac5e-3d8f-464c-93b8-0c71fe7060ec,1597059728728:0bae89c5-c046-4271-b160-a48342af147c,0,,0,,0,
29,31,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597059728728:a1a756dc-2129-4534-91a6-f4f4ca6d4d77,1597059728728:1502bdd8-b98e-475a-ac68-1f0de09aef10,0,,0,,0,
30,32,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes,1597059728727:20d26b75-56e6-43a5-9d89-ae92c7fa5684,1597059728727:904e60ff-f3c3-4055-b197-241303ab4cb3,0,,1,['13'],0,
31,33,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597059728727:20d26b75-56e6-43a5-9d89-ae92c7fa5684,1597059728727:2779bd41-aa3f-4699-9359-062c01dec6d9,0,,1,['13'],0,
32,34,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597059728727:20d26b75-56e6-43a5-9d89-ae92c7fa5684,1597059728727:2779bd41-aa3f-4699-9359-062c01dec6d9,0,,0,,0,
33,35,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597059728726:e74bb69e-3631-463f-8ff7-9812260178db,1597059728726:3c69a7bf-8cbf-4ec2-8ff9-7ddaf0a94e67,0,,1,['13'],0,
34,36,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",Yes,1597059728726:e74bb69e-3631-463f-8ff7-9812260178db,1597059728726:3c69a7bf-8cbf-4ec2-8ff9-7ddaf0a94e67,0,,1,['13'],0,
35,37,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597059728726:e74bb69e-3631-463f-8ff7-9812260178db,1597059728726:3c69a7bf-8cbf-4ec2-8ff9-7ddaf0a94e67,0,,1,['13'],0,
36,38,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597059728725:372c3f64-e04c-4dbf-a1a2-76c8276fd00b,1597059728725:2207b4ff-01a6-497b-957c-8403ee20039a,0,,1,['16'],0,
37,39,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597059728722:11deaec1-16b3-4c55-a2dc-f769021fc29a,1597059728722:470d730a-ff53-4fbd-8f24-9d10c9278d96,0,,1,['13'],0,
38,40,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597059728722:11deaec1-16b3-4c55-a2dc-f769021fc29a,1597059728722:470d730a-ff53-4fbd-8f24-9d10c9278d96,0,,1,['13'],0,
39,41,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597059728722:11deaec1-16b3-4c55-a2dc-f769021fc29a,1597059728722:3f273ace-59b3-4b3f-a416-0b0b254533dd,0,,1,['13'],0,
