,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
6038,1597060821532:53bbed2e-a866-4f70-800d-9c605dd685a4,1597060821532:7db5ab0d-6ce3-47fd-8f04-d16852457513,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6039,1597060821532:53bbed2e-a866-4f70-800d-9c605dd685a4,1597060821532:7db5ab0d-6ce3-47fd-8f04-d16852457513,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6040,1597060821532:53bbed2e-a866-4f70-800d-9c605dd685a4,1597060821532:7db5ab0d-6ce3-47fd-8f04-d16852457513,0,True,EmptyObject,EmptyObject,clear,none,No,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6041,1597060821532:53bbed2e-a866-4f70-800d-9c605dd685a4,1597060821532:7db5ab0d-6ce3-47fd-8f04-d16852457513,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6042,1597060821532:53bbed2e-a866-4f70-800d-9c605dd685a4,1597060821532:7db5ab0d-6ce3-47fd-8f04-d16852457513,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6044,1597060821532:53bbed2e-a866-4f70-800d-9c605dd685a4,1597060821532:309482ac-0800-4d2f-af20-6d13b31d2ffd,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6045,1597060821532:53bbed2e-a866-4f70-800d-9c605dd685a4,1597060821532:309482ac-0800-4d2f-af20-6d13b31d2ffd,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6047,1597060821532:4f842633-92a6-4bd3-9b7a-15591f635a1b,1597060821532:2252d035-9139-480b-88bd-5eab98047376,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6048,1597060821532:4f842633-92a6-4bd3-9b7a-15591f635a1b,1597060821532:2252d035-9139-480b-88bd-5eab98047376,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6050,1597060821532:4d2d013e-6e24-4d44-93d5-1f75f5b4dcd4,1597060821532:fd6ab452-4458-4c9c-ab3f-1247cf1dc9fd,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6051,1597060821532:4d2d013e-6e24-4d44-93d5-1f75f5b4dcd4,1597060821532:fd6ab452-4458-4c9c-ab3f-1247cf1dc9fd,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6053,1597060821532:17989c7b-982f-4e5c-a685-ee56736c59a0,1597060821532:e45932b9-2bb8-4aa4-8374-6573c7b44001,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6054,1597060821532:17989c7b-982f-4e5c-a685-ee56736c59a0,1597060821532:e45932b9-2bb8-4aa4-8374-6573c7b44001,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6056,1597060821531:e7b9c4ea-b210-4713-96e2-6fe9bf3ef966,1597060821531:0144c27e-3f6d-4068-ad21-f062a3b3a3fa,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6057,1597060821531:e7b9c4ea-b210-4713-96e2-6fe9bf3ef966,1597060821531:0144c27e-3f6d-4068-ad21-f062a3b3a3fa,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6059,1597060821531:c07d699b-21d7-43fc-811a-4c46f0310240,1597060821532:4b4f85fb-34e2-447b-b8ee-d5cf1a7006bc,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6060,1597060821531:c07d699b-21d7-43fc-811a-4c46f0310240,1597060821532:4b4f85fb-34e2-447b-b8ee-d5cf1a7006bc,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6062,1597060821531:78236eb0-205d-4945-bea5-55fdfb80a74e,1597060821531:9e34e308-25aa-4084-beac-f5b253c51160,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6063,1597060821531:78236eb0-205d-4945-bea5-55fdfb80a74e,1597060821531:9e34e308-25aa-4084-beac-f5b253c51160,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6065,1597060821531:78236eb0-205d-4945-bea5-55fdfb80a74e,1597060821531:87307a33-ef3f-42a6-befe-8977bfac4e97,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6066,1597060821531:78236eb0-205d-4945-bea5-55fdfb80a74e,1597060821531:87307a33-ef3f-42a6-befe-8977bfac4e97,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6067,1597060821531:78236eb0-205d-4945-bea5-55fdfb80a74e,1597060821531:87307a33-ef3f-42a6-befe-8977bfac4e97,0,True,EmptyObject,EmptyObject,clear,none,No,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6068,1597060821531:78236eb0-205d-4945-bea5-55fdfb80a74e,1597060821531:87307a33-ef3f-42a6-befe-8977bfac4e97,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6069,1597060821531:78236eb0-205d-4945-bea5-55fdfb80a74e,1597060821531:87307a33-ef3f-42a6-befe-8977bfac4e97,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6071,1597060821531:5ed35e51-98e0-4161-844a-cce02d2ecd12,1597060821531:d2fb97bf-165f-4370-baa1-59640ddf8793,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6072,1597060821531:5ed35e51-98e0-4161-844a-cce02d2ecd12,1597060821531:d2fb97bf-165f-4370-baa1-59640ddf8793,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6074,1597060821531:5ed35e51-98e0-4161-844a-cce02d2ecd12,1597060821531:2a463a4a-ebbd-419d-88e5-b4226b405e9f,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6076,1597060821531:1742117e-c274-4208-b957-7ba7e18d2dec,1597060821531:4081804b-bc2b-459f-9978-cc23755cb1d1,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6077,1597060821531:1742117e-c274-4208-b957-7ba7e18d2dec,1597060821531:4081804b-bc2b-459f-9978-cc23755cb1d1,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
