,testId,instanceId,size,isEmpty,peek_obj_type,calledMethod,diff
47,1597050830314:60f67f47-1eb4-4053-abe8-e0a492239254,1597050830314:5c2a20cf-bc9c-4bb1-9bb7-f456a3f647a9,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
48,1597050830314:60f67f47-1eb4-4053-abe8-e0a492239254,1597050830314:5c2a20cf-bc9c-4bb1-9bb7-f456a3f647a9,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
50,1597050830314:60f67f47-1eb4-4053-abe8-e0a492239254,1597050830314:33882ddb-ff19-4d2a-9aa7-fecf84f625dd,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
51,1597050830314:60f67f47-1eb4-4053-abe8-e0a492239254,1597050830314:33882ddb-ff19-4d2a-9aa7-fecf84f625dd,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
53,1597050830314:5bb8c651-7e18-4d30-931e-2c1f29967a72,1597050830314:03031cdf-a463-4da2-aadf-1156c84d35fa,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
54,1597050830314:5bb8c651-7e18-4d30-931e-2c1f29967a72,1597050830314:03031cdf-a463-4da2-aadf-1156c84d35fa,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
56,1597050830314:2483292a-bd7f-4d57-b3c8-37ef2a7a68c6,1597050830314:e6b179d7-2973-4f8d-b796-a6942ff96075,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
57,1597050830314:2483292a-bd7f-4d57-b3c8-37ef2a7a68c6,1597050830314:e6b179d7-2973-4f8d-b796-a6942ff96075,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
59,1597050830314:2483292a-bd7f-4d57-b3c8-37ef2a7a68c6,1597050830314:a6fb1c0c-a6ac-4f8a-a8ac-513124d6db9e,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
61,1597050830313:a031ba86-0107-4236-93ec-4898e179e293,1597050830313:56d8595b-ad14-4899-906d-99be7c9a2d67,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
62,1597050830313:a031ba86-0107-4236-93ec-4898e179e293,1597050830313:56d8595b-ad14-4899-906d-99be7c9a2d67,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
63,1597050830313:a031ba86-0107-4236-93ec-4898e179e293,1597050830313:56d8595b-ad14-4899-906d-99be7c9a2d67,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
65,1597050830313:7e0d01e3-dc30-445d-8f69-6dc36ea9ad57,1597050830313:9e79c587-df2a-4f86-9498-af335d0c7cbb,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
67,1597050830313:7e0d01e3-dc30-445d-8f69-6dc36ea9ad57,1597050830313:26cadf25-e83f-4f90-ad1d-4879f158cee0,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
68,1597050830313:7e0d01e3-dc30-445d-8f69-6dc36ea9ad57,1597050830313:26cadf25-e83f-4f90-ad1d-4879f158cee0,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
70,1597050830313:52274850-e007-4b7c-b5dd-66e9cc4d4291,1597050830313:d3c80c02-b3e1-48a4-89d4-bf2876d29630,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
71,1597050830313:52274850-e007-4b7c-b5dd-66e9cc4d4291,1597050830313:d3c80c02-b3e1-48a4-89d4-bf2876d29630,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
73,1597050830313:52274850-e007-4b7c-b5dd-66e9cc4d4291,1597050830313:7f149e34-2fd8-4638-b210-8c521d022988,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
74,1597050830313:52274850-e007-4b7c-b5dd-66e9cc4d4291,1597050830313:7f149e34-2fd8-4638-b210-8c521d022988,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
75,1597050830313:52274850-e007-4b7c-b5dd-66e9cc4d4291,1597050830313:7f149e34-2fd8-4638-b210-8c521d022988,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
76,1597050830313:52274850-e007-4b7c-b5dd-66e9cc4d4291,1597050830313:7f149e34-2fd8-4638-b210-8c521d022988,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
77,1597050830313:52274850-e007-4b7c-b5dd-66e9cc4d4291,1597050830313:7f149e34-2fd8-4638-b210-8c521d022988,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
79,1597050830313:3dc9059b-00c2-485b-8661-ce339d82abde,1597050830313:c8e80fea-6c18-45fd-a3ce-10a0adf06179,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
80,1597050830313:3dc9059b-00c2-485b-8661-ce339d82abde,1597050830313:c8e80fea-6c18-45fd-a3ce-10a0adf06179,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
82,1597050830313:224db8e6-6b89-4500-b942-99d0b59d26ec,1597050830313:db8a7d6f-dc47-40ce-a925-48a94fed75a8,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
83,1597050830313:224db8e6-6b89-4500-b942-99d0b59d26ec,1597050830313:db8a7d6f-dc47-40ce-a925-48a94fed75a8,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
86,1597050830313:224db8e6-6b89-4500-b942-99d0b59d26ec,1597050830313:89aa8ffa-d45c-4410-ab81-ae618b6d95e5,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
88,1597050830312:d5e53fbc-0728-4151-8221-8d51e31e6733,1597050830312:bdaeaac7-22da-4266-9314-ba5080ded2ec,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
89,1597050830312:d5e53fbc-0728-4151-8221-8d51e31e6733,1597050830312:bdaeaac7-22da-4266-9314-ba5080ded2ec,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
91,1597050830312:c0c629ce-be00-4ed2-9e17-ffd681df8a32,1597050830312:76e3570d-c8cb-4320-a7b4-7e5dd17d8112,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
93,1597050830312:c0c629ce-be00-4ed2-9e17-ffd681df8a32,1597050830312:03dfa111-9faa-4480-8cd0-0b66ae986e31,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
94,1597050830312:c0c629ce-be00-4ed2-9e17-ffd681df8a32,1597050830312:03dfa111-9faa-4480-8cd0-0b66ae986e31,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
96,1597050830312:87869261-7b7e-49f1-9ff8-3964c1681a77,1597050830312:4a0aa62d-7b4b-4828-8df6-5d38f741d2dd,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
98,1597050830312:87869261-7b7e-49f1-9ff8-3964c1681a77,1597050830312:0043b10c-71f4-46b6-be14-fe906e3b6570,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
99,1597050830312:87869261-7b7e-49f1-9ff8-3964c1681a77,1597050830312:0043b10c-71f4-46b6-be14-fe906e3b6570,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
101,1597050830312:84465866-676a-45d4-8aad-fd60c61d4b0c,1597050830312:acb9027e-4bf6-4538-b797-9c176647c860,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
102,1597050830312:84465866-676a-45d4-8aad-fd60c61d4b0c,1597050830312:acb9027e-4bf6-4538-b797-9c176647c860,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
104,1597050830312:84465866-676a-45d4-8aad-fd60c61d4b0c,1597050830312:19a31e6f-531c-429e-9d05-9060139b85ef,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
105,1597050830312:84465866-676a-45d4-8aad-fd60c61d4b0c,1597050830312:19a31e6f-531c-429e-9d05-9060139b85ef,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes
108,1597050830312:52587274-7130-4bf4-b2f3-4fde4504d48c,1597050830312:75f9efff-00c8-4809-bd2f-9eaa06d777a4,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
110,1597050830312:52587274-7130-4bf4-b2f3-4fde4504d48c,1597050830312:5ca09696-513d-43c1-95c7-930e14db3cc5,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
111,1597050830312:52587274-7130-4bf4-b2f3-4fde4504d48c,1597050830312:5ca09696-513d-43c1-95c7-930e14db3cc5,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
113,1597050830311:aa567de5-b195-4432-9400-8dff3150fdc8,1597050830311:5b3f78ae-9e48-4eb3-8b72-f69e6b378c66,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
114,1597050830311:aa567de5-b195-4432-9400-8dff3150fdc8,1597050830311:5b3f78ae-9e48-4eb3-8b72-f69e6b378c66,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
117,1597050830311:aa2fe025-40f4-4d46-a95c-51d9a819cda6,1597050830311:4a4f36d1-a026-4710-b3b0-c8671361bfe5,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
119,1597050830311:aa2fe025-40f4-4d46-a95c-51d9a819cda6,1597050830311:1b7e2ff4-eacb-4239-ad28-76ee64b759da,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
120,1597050830311:aa2fe025-40f4-4d46-a95c-51d9a819cda6,1597050830311:1b7e2ff4-eacb-4239-ad28-76ee64b759da,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
122,1597050830310:fed99130-b5b6-4680-90c4-495b8265606e,1597050830310:ef0ef1b5-824b-4d66-875e-c6363c08e24d,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
123,1597050830310:fed99130-b5b6-4680-90c4-495b8265606e,1597050830310:ef0ef1b5-824b-4d66-875e-c6363c08e24d,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
125,1597050830310:f53a74bb-ca7e-4608-a24b-a8d30df7325c,1597050830310:2b62d9ba-86dd-4329-b6dc-73a33aaeb706,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
126,1597050830310:f53a74bb-ca7e-4608-a24b-a8d30df7325c,1597050830310:2b62d9ba-86dd-4329-b6dc-73a33aaeb706,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
128,1597050830310:cb921d67-d040-466e-a996-f0441a509297,1597050830310:e04c4df9-d2e9-476b-b313-21e025e5841f,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
129,1597050830310:cb921d67-d040-466e-a996-f0441a509297,1597050830310:e04c4df9-d2e9-476b-b313-21e025e5841f,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes
131,1597050830310:cb921d67-d040-466e-a996-f0441a509297,1597050830310:0e14e639-bed2-48d2-a730-f310acd373fd,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
132,1597050830310:cb921d67-d040-466e-a996-f0441a509297,1597050830310:0e14e639-bed2-48d2-a730-f310acd373fd,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes
133,1597050830310:cb921d67-d040-466e-a996-f0441a509297,1597050830310:0e14e639-bed2-48d2-a730-f310acd373fd,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
134,1597050830310:cb921d67-d040-466e-a996-f0441a509297,1597050830310:0e14e639-bed2-48d2-a730-f310acd373fd,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
135,1597050830310:cb921d67-d040-466e-a996-f0441a509297,1597050830310:0e14e639-bed2-48d2-a730-f310acd373fd,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No
