,size,isEmpty,peek_obj_type,diff,testId,instanceId
1,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:ef088c28-f17c-43a0-af9f-ac96f806d3ac
2,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:ef088c28-f17c-43a0-af9f-ac96f806d3ac
6,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:d96c1c8c-969a-4299-9785-e22986fb5119
11,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""",No,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:9df7b216-89d7-4ebf-92af-4e6ebd182f60
13,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:9df7b216-89d7-4ebf-92af-4e6ebd182f60
14,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:9df7b216-89d7-4ebf-92af-4e6ebd182f60
15,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:9df7b216-89d7-4ebf-92af-4e6ebd182f60
21,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:9df7b216-89d7-4ebf-92af-4e6ebd182f60
24,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:6636449c-352e-446c-b615-b8d1248af253
39,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:e9e1fcd6-f68d-4e33-950e-62f9316d0912
44,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:c9c4c45c-c740-43aa-8dec-16470840d6d9
45,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:c9c4c45c-c740-43aa-8dec-16470840d6d9
53,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:bed95e1b-d024-4776-8fa0-7a6809a2b2a6
54,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:bed95e1b-d024-4776-8fa0-7a6809a2b2a6
69,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:79dc3983-b886-437b-b06c-730038c5ff7f
70,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:79dc3983-b886-437b-b06c-730038c5ff7f
75,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597059728733:c8b6b625-a815-4f17-964d-c94e5de79d2b,1597059728733:462ce6f8-b849-4312-87c8-35b4cbfc8841
124,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597059728733:0bc575c6-7524-4c65-982f-5a8512980145,1597059728733:820e153b-78d3-4294-bd74-73cea6be1dab
125,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597059728733:0bc575c6-7524-4c65-982f-5a8512980145,1597059728733:820e153b-78d3-4294-bd74-73cea6be1dab
285,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597059728731:ebf47e13-f758-46a0-a4b1-2a059448b77f,1597059728731:fab3a02d-1919-496a-bc2f-542a156d4ee8
374,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597059728731:49003649-0560-43c7-8e56-b9d6d1741448,1597059728731:3a5573d5-69cc-4f89-b49a-4bd088b7fa50
414,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597059728730:d3ee54de-3039-467d-a5ed-4e5d674e09a9,1597059728730:38f1902a-bcf3-4f35-9dc6-7ae5bebd3da8
540,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""",Yes,1597059728729:91795ee4-b95a-4b20-81ff-041bd9d95748,1597059728729:64f6ef2a-ab89-4a70-9c62-3f1e542c754f
728,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""",Yes,1597059728727:20d26b75-56e6-43a5-9d89-ae92c7fa5684,1597059728727:904e60ff-f3c3-4055-b197-241303ab4cb3
754,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597059728727:20d26b75-56e6-43a5-9d89-ae92c7fa5684,1597059728727:2779bd41-aa3f-4699-9359-062c01dec6d9
826,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597059728726:e74bb69e-3631-463f-8ff7-9812260178db,1597059728726:3c69a7bf-8cbf-4ec2-8ff9-7ddaf0a94e67
827,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597059728726:e74bb69e-3631-463f-8ff7-9812260178db,1597059728726:3c69a7bf-8cbf-4ec2-8ff9-7ddaf0a94e67
828,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597059728726:e74bb69e-3631-463f-8ff7-9812260178db,1597059728726:3c69a7bf-8cbf-4ec2-8ff9-7ddaf0a94e67
1234,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597059728722:11deaec1-16b3-4c55-a2dc-f769021fc29a,1597059728722:470d730a-ff53-4fbd-8f24-9d10c9278d96
1235,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""",Yes,1597059728722:11deaec1-16b3-4c55-a2dc-f769021fc29a,1597059728722:470d730a-ff53-4fbd-8f24-9d10c9278d96
1247,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597059728722:11deaec1-16b3-4c55-a2dc-f769021fc29a,1597059728722:3f273ace-59b3-4b3f-a416-0b0b254533dd
1590,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597059728718:d69afb08-d83a-48eb-8eb3-c90d652d8a09,1597059728718:ff664087-038d-4b5e-bc82-6ae6fdcb2401
1591,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597059728718:d69afb08-d83a-48eb-8eb3-c90d652d8a09,1597059728718:ff664087-038d-4b5e-bc82-6ae6fdcb2401
