,DataSet,# of unique rows covered by at least one rule,TP,TN,FP,FN,TPR,TNR,FPR,FNR,FDR (false discovery rate),FOR (false omition rate),Accuracy,Misclassification Rate,Precision,Recall,f-measure
0,ruleValidator,308,0,308,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,fs3_Mod1_p,226,0,135,0,91,0.0,1.0,0.0,1.0,0.0,0.4026548672566372,0.5973451327433629,0.4026548672566372,0.0,1.0,0.0
2,fs3_Mod2_e,107,20,74,13,0,1.0,0.8505747126436781,0.14942528735632188,0.0,0.3939393939393939,0.0,20.69158878504673,0.12149532710280374,0.6060606060606061,0.8505747126436781,0.7077953132472501
3,fs3_Mod3_s,300,19,83,0,198,0.08755760368663594,1.0,0.0,0.9124423963133641,0.0,0.7046263345195729,19.276666666666667,0.66,1.0,1.0,1.0
4,fs3_Mod4_pes,14,4,7,1,2,0.6666666666666666,0.875,0.125,0.33333333333333337,0.2,0.2222222222222222,4.5,0.21428571428571427,0.8,0.875,0.8358208955223881
5,fs3_Mod5_pe,106,31,58,2,15,0.6739130434782609,0.9666666666666667,0.033333333333333326,0.32608695652173914,0.06060606060606061,0.2054794520547945,31.547169811320753,0.16037735849056603,0.9393939393939394,0.9666666666666667,0.9528351881293058
6,fs3_Mod6_ps,221,19,76,0,126,0.1310344827586207,1.0,0.0,0.8689655172413793,0.0,0.6237623762376238,19.34389140271493,0.5701357466063348,1.0,1.0,1.0
7,fs3_Mod7_es,17,6,8,1,2,0.75,0.8888888888888888,0.11111111111111116,0.25,0.14285714285714285,0.2,6.470588235294118,0.17647058823529413,0.8571428571428571,0.8888888888888888,0.8727272727272727
