,DataSet,# of unique rows covered by at least one rule,TP,TN,FP,FN,TPR,TNR,FPR,FNR,FDR (false discovery rate),FOR (false omition rate),Accuracy,Misclassification Rate,Precision,Recall,f-measure
0,ur,33,0,33,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,fs1_Mod1_p,30,0,15,0,15,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0
2,fs1_Mod2_e,20,1,19,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.95,0.0,1.0,1.0,1.0
3,fs1_Mod3_s,22,0,0,0,22,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,fs1_Mod4_pes,2,1,0,0,1,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.0,0.0
5,fs1_Mod5_pe,19,1,11,0,7,0.125,1.0,0.0,0.875,0.0,0.3888888888888889,1.5789473684210527,0.3684210526315789,1.0,1.0,1.0
6,fs1_Mod6_ps,21,0,0,0,21,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,fs1_Mod7_es,4,1,0,0,3,0.25,0.0,1.0,0.75,0.0,1.0,1.0,0.75,1.0,0.0,0.0
