,DataSet,# of unique rows covered by at least one rule,TP,TN,FP,FN,TPR,TNR,FPR,FNR,FDR (false discovery rate),FOR (false omition rate),Accuracy,Misclassification Rate,Precision,Recall,f-measure
0,ur,320,0,320,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,fs5_Mod1_p,398,0,209,0,189,0.0,1.0,0.0,1.0,0.0,0.4748743718592965,0.5251256281407035,0.4748743718592965,0.0,1.0,0.0
2,fs5_Mod2_e,108,20,75,13,0,1.0,0.8522727272727273,0.1477272727272727,0.0,0.3939393939393939,0.0,20.694444444444443,0.12037037037037036,0.6060606060606061,0.8522727272727273,0.7083825265643447
3,fs5_Mod3_s,320,21,83,0,216,0.08860759493670886,1.0,0.0,0.9113924050632911,0.0,0.7224080267558528,21.259375,0.675,1.0,1.0,1.0
4,fs5_Mod4_pes,17,6,8,1,2,0.75,0.8888888888888888,0.11111111111111116,0.25,0.14285714285714285,0.2,6.470588235294118,0.17647058823529413,0.8571428571428571,0.8888888888888888,0.8727272727272727
5,fs5_Mod5_pe,133,48,65,2,18,0.7272727272727273,0.9701492537313433,0.02985074626865669,0.2727272727272727,0.04,0.21686746987951808,48.48872180451128,0.15037593984962405,0.96,0.9701492537313433,0.9650479430869162
6,fs5_Mod6_ps,398,21,119,0,258,0.07526881720430108,1.0,0.0,0.9247311827956989,0.0,0.6843501326259946,21.298994974874372,0.6482412060301508,1.0,1.0,1.0
7,fs5_Mod7_es,17,6,8,1,2,0.75,0.8888888888888888,0.11111111111111116,0.25,0.14285714285714285,0.2,6.470588235294118,0.17647058823529413,0.8571428571428571,0.8888888888888888,0.8727272727272727
