,DataSet,# of unique rows covered by at least one rule,TP,TN,FP,FN,TPR,TNR,FPR,FNR,FDR (false discovery rate),FOR (false omition rate),Accuracy,Misclassification Rate,Precision,Recall,f-measure
0,ruleValidator,320,0,320,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,fs5_Mod1_p,398,38,209,0,151,0.20105820105820105,1.0,0.0,0.798941798941799,0.0,0.41944444444444445,38.52512562814071,0.3793969849246231,1.0,1.0,1.0
2,fs5_Mod2_e,108,20,75,13,0,1.0,0.8522727272727273,0.1477272727272727,0.0,0.3939393939393939,0.0,20.694444444444443,0.12037037037037036,0.6060606060606061,0.8522727272727273,0.7083825265643447
3,fs5_Mod3_s,320,19,83,0,218,0.08016877637130802,1.0,0.0,0.919831223628692,0.0,0.7242524916943521,19.259375,0.68125,1.0,1.0,1.0
4,fs5_Mod4_pes,17,7,8,1,1,0.875,0.8888888888888888,0.11111111111111116,0.125,0.125,0.1111111111111111,7.470588235294118,0.11764705882352941,0.875,0.8888888888888888,0.8818897637795274
5,fs5_Mod5_pe,133,49,65,2,17,0.7424242424242424,0.9701492537313433,0.02985074626865669,0.25757575757575757,0.0392156862745098,0.2073170731707317,49.48872180451128,0.14285714285714285,0.9607843137254902,0.9701492537313433,0.9654440739618066
6,fs5_Mod6_ps,398,57,119,0,222,0.20430107526881722,1.0,0.0,0.7956989247311828,0.0,0.6510263929618768,57.298994974874375,0.5577889447236181,1.0,1.0,1.0
7,fs5_Mod7_es,17,6,8,1,2,0.75,0.8888888888888888,0.11111111111111116,0.25,0.14285714285714285,0.2,6.470588235294118,0.17647058823529413,0.8571428571428571,0.8888888888888888,0.8727272727272727
