,size,isEmpty,peek_obj_type,calledMethod,pushInput,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,pushInput_p,diff,testId,instanceId
347,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Short""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:9d622b0d-6509-4f04-bc15-d7dab931c203
398,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058048:7de2d710-f1bb-4c53-91da-fec38f36b32f,1596542058048:91d2e11d-0d71-4ea4-a795-30fecc095ca1
407,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058048:7de2d710-f1bb-4c53-91da-fec38f36b32f,1596542058048:8ee58bed-0d1f-4bd4-9bbb-85c92c0ac671
408,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058048:7de2d710-f1bb-4c53-91da-fec38f36b32f,1596542058048:8ee58bed-0d1f-4bd4-9bbb-85c92c0ac671
419,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Byte""",No,1596542058048:7de2d710-f1bb-4c53-91da-fec38f36b32f,1596542058048:01f05b08-2bf4-4404-83ac-bfb548c6895b
427,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058048:27d47d41-38c0-4d5e-bae6-a95336e64357,1596542058048:c5830c5d-ce01-43ce-9c3c-989ffbc1a3ba
450,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058048:27d47d41-38c0-4d5e-bae6-a95336e64357,1596542058048:36b79818-ce56-43bf-8535-28c53574d60d
451,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058048:27d47d41-38c0-4d5e-bae6-a95336e64357,1596542058048:36b79818-ce56-43bf-8535-28c53574d60d
453,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058048:27d47d41-38c0-4d5e-bae6-a95336e64357,1596542058048:36b79818-ce56-43bf-8535-28c53574d60d
464,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058048:27d47d41-38c0-4d5e-bae6-a95336e64357,1596542058048:1ce1b411-2e27-48ed-a97d-0ce70c2579f4
505,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","calledMethod == ""push""","pushInput == ""class java.lang.Object""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""","pushInput_p == ""none""",No,1596542058047:25beca70-5b75-46d7-834e-39c99274bcfc,1596542058047:f50cc9c6-aa50-4a00-8cab-0f576143d477
513,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058047:25beca70-5b75-46d7-834e-39c99274bcfc,1596542058047:c37e2e7c-9733-4e5d-827f-46e2ecdc6efb
514,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058047:25beca70-5b75-46d7-834e-39c99274bcfc,1596542058047:c37e2e7c-9733-4e5d-827f-46e2ecdc6efb
515,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058047:25beca70-5b75-46d7-834e-39c99274bcfc,1596542058047:c37e2e7c-9733-4e5d-827f-46e2ecdc6efb
516,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","calledMethod == ""push""","pushInput == ""class java.lang.Object""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058047:25beca70-5b75-46d7-834e-39c99274bcfc,1596542058047:c37e2e7c-9733-4e5d-827f-46e2ecdc6efb
622,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058046:da6a1f5c-92b1-40e2-b02d-794372a6d194,1596542058046:36ed2d14-c9c4-46cd-94cf-1e581ee53d28
623,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058046:da6a1f5c-92b1-40e2-b02d-794372a6d194,1596542058046:36ed2d14-c9c4-46cd-94cf-1e581ee53d28
640,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Short""",No,1596542058046:52c07aa3-5803-49c7-939d-94b9aa579226,1596542058046:e5b6fd64-ea7c-440c-a7ba-8165ce9ee54f
647,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Byte""",No,1596542058046:52c07aa3-5803-49c7-939d-94b9aa579226,1596542058046:ba87ec0b-d6c7-42c9-af77-243ff326312e
648,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Boolean""",No,1596542058046:52c07aa3-5803-49c7-939d-94b9aa579226,1596542058046:ba87ec0b-d6c7-42c9-af77-243ff326312e
649,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058046:52c07aa3-5803-49c7-939d-94b9aa579226,1596542058046:ba87ec0b-d6c7-42c9-af77-243ff326312e
663,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058046:52c07aa3-5803-49c7-939d-94b9aa579226,1596542058046:aec36a93-ee9d-4877-a143-a54a5201e178
708,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""","pushInput == ""class java.lang.Byte""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058046:26520d34-f9b1-480c-9209-5609c1394091,1596542058046:d336d674-d70c-4a42-ac54-55118c58f06b
709,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Byte""",No,1596542058046:26520d34-f9b1-480c-9209-5609c1394091,1596542058046:d336d674-d70c-4a42-ac54-55118c58f06b
710,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058046:26520d34-f9b1-480c-9209-5609c1394091,1596542058046:d336d674-d70c-4a42-ac54-55118c58f06b
711,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058046:26520d34-f9b1-480c-9209-5609c1394091,1596542058046:d336d674-d70c-4a42-ac54-55118c58f06b
728,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.String""",No,1596542058046:26520d34-f9b1-480c-9209-5609c1394091,1596542058046:83c91987-6d81-407b-88e6-15b3a359e42e
764,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""","pushInput == ""class java.lang.Byte""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:d3166bee-1526-4574-a65c-cb7cfa3bf67f
765,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Byte""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:d3166bee-1526-4574-a65c-cb7cfa3bf67f
781,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:b3155f06-9aa5-48c6-9d10-084e38cbf9d9
809,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Boolean""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:2c5496a7-2e1d-4d24-8166-0dccd97033ee
810,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:2c5496a7-2e1d-4d24-8166-0dccd97033ee
816,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""","pushInput == ""class java.lang.Double""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Short""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:1e9c85bf-3d17-49b7-9a60-3944daf19af2
817,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Double""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:1e9c85bf-3d17-49b7-9a60-3944daf19af2
818,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Boolean""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:1e9c85bf-3d17-49b7-9a60-3944daf19af2
819,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:1e9c85bf-3d17-49b7-9a60-3944daf19af2
828,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.String""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:1170c63a-2067-4f62-bcd0-74f647a31af4
939,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058044:716027d9-ad58-4173-a5af-c4dfd0f66b31,1596542058044:3c45a7f9-39ba-41f2-be95-b9405f8d85a0
940,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058044:716027d9-ad58-4173-a5af-c4dfd0f66b31,1596542058044:3c45a7f9-39ba-41f2-be95-b9405f8d85a0
941,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Boolean""",No,1596542058044:716027d9-ad58-4173-a5af-c4dfd0f66b31,1596542058044:3c45a7f9-39ba-41f2-be95-b9405f8d85a0
942,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058044:716027d9-ad58-4173-a5af-c4dfd0f66b31,1596542058044:3c45a7f9-39ba-41f2-be95-b9405f8d85a0
964,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""","pushInput == ""class java.lang.Integer""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058043:cf21ddd1-012e-444b-a7ec-e632a086a1fe,1596542058043:949a3f6c-a1e0-4c90-8685-ba79941754ab
965,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Integer""",No,1596542058043:cf21ddd1-012e-444b-a7ec-e632a086a1fe,1596542058043:949a3f6c-a1e0-4c90-8685-ba79941754ab
1027,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058043:a26b7154-ff35-4d1a-82e8-4e63abbc6ef9,1596542058043:1387ca9c-7028-448f-b331-8e67db054782
1038,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058043:a26b7154-ff35-4d1a-82e8-4e63abbc6ef9,1596542058043:109dc8fd-600e-4517-bb72-5a9d6d6c2573
1071,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058042:200bef60-2898-4274-815e-30195935333a,1596542058042:66af25a5-a268-4da7-8d2f-1b9e83823189
1089,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class java.lang.String""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""","pushInput_p == ""none""",No,1596542058042:1baae22e-6ed7-4285-ac75-9aa62b93ad5c,1596542058042:8a6a985a-9d0f-4a84-9cd6-df2012aae847
1145,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058041:cc151ae6-b629-419e-8c8a-615bb8f102c4,1596542058041:605c3f0e-df26-402b-9bea-84b45b61dfc3
1186,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058041:801b4e68-f944-4281-bded-07cfe752ea0b,1596542058041:e8014cab-7194-4e2c-8e57-50aaefea8214
1243,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058040:9933754b-1a1c-45ec-b372-af3289ee1727,1596542058040:9dde25c9-7cf9-41ff-a515-2ab6e667e34d
1309,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058040:9001427c-1b0c-4475-a611-0e3cb14048fd,1596542058040:3d5311e3-1876-4684-b1f5-97ca0f2f9d16
1330,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058040:8f67e3a3-949f-47b9-840e-d6f2f653ba71,1596542058041:b9b15c70-3551-4587-8964-07be59bbb288
1353,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.String""",No,1596542058040:8f67e3a3-949f-47b9-840e-d6f2f653ba71,1596542058040:cdefbab5-4324-4f01-ba97-53263006e740
1354,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""","pushInput == ""class java.lang.Integer""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058040:8f67e3a3-949f-47b9-840e-d6f2f653ba71,1596542058040:cdefbab5-4324-4f01-ba97-53263006e740
1355,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Integer""",No,1596542058040:8f67e3a3-949f-47b9-840e-d6f2f653ba71,1596542058040:cdefbab5-4324-4f01-ba97-53263006e740
1393,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Boolean""",No,1596542058039:e6f80169-6592-4cce-aeb9-f818d210329f,1596542058039:86544946-6b1c-4dfd-96af-7d4bfa01f7e0
1469,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Boolean""",No,1596542058039:6fb1eea3-7c8c-4ad0-a6ed-1164c919817f,1596542058039:bbbcc0ad-e1e3-4425-ade2-08461a41b63d
1520,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Double""",No,1596542058038:7e1b173e-4d33-474a-bba5-66024094d5d7,1596542058038:f260bcc7-d0c8-4137-85e3-49d7fc412f27
1521,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058038:7e1b173e-4d33-474a-bba5-66024094d5d7,1596542058038:f260bcc7-d0c8-4137-85e3-49d7fc412f27
1522,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Boolean""",No,1596542058038:7e1b173e-4d33-474a-bba5-66024094d5d7,1596542058038:f260bcc7-d0c8-4137-85e3-49d7fc412f27
1526,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058038:7e1b173e-4d33-474a-bba5-66024094d5d7,1596542058038:dcc48a9a-1205-440a-9c5a-fbc17dc4d786
1546,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058038:7e1b173e-4d33-474a-bba5-66024094d5d7,1596542058038:63c9f99e-36fa-4398-8d1a-4ceafa6b3f18
1567,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Double""",No,1596542058038:7e1b173e-4d33-474a-bba5-66024094d5d7,1596542058038:426ae2c7-2e2b-4635-af1b-9a9424bdc72b
