,size,isEmpty,peek_obj_type,calledMethod,pushInput,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,pushInput_p,diff,testId,instanceId
29,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:0aec68d2-1bcc-4fba-8219-f30cc1dad287
30,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:0aec68d2-1bcc-4fba-8219-f30cc1dad287
31,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:0aec68d2-1bcc-4fba-8219-f30cc1dad287
32,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""","pushInput_p == ""none""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:0aec68d2-1bcc-4fba-8219-f30cc1dad287
37,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058051:66fe66d1-ebfa-4dca-bd15-7d20773a9198,1596542058051:ef9497aa-b40f-4c52-8e02-bdb5f1a405cc
38,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""","pushInput_p == ""none""",No,1596542058051:66fe66d1-ebfa-4dca-bd15-7d20773a9198,1596542058051:ef9497aa-b40f-4c52-8e02-bdb5f1a405cc
49,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542058051:66fe66d1-ebfa-4dca-bd15-7d20773a9198,1596542058051:300db31f-eeab-4623-be6a-d42922b93816
58,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058051:66fe66d1-ebfa-4dca-bd15-7d20773a9198,1596542058051:25404957-355e-4b95-ac50-ea45aed25417
59,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542058051:66fe66d1-ebfa-4dca-bd15-7d20773a9198,1596542058051:25404957-355e-4b95-ac50-ea45aed25417
60,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058051:66fe66d1-ebfa-4dca-bd15-7d20773a9198,1596542058051:25404957-355e-4b95-ac50-ea45aed25417
