,index,size,isEmpty,peek_obj_type,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,3,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""",Yes,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf,3,"['2', '6', '13']",0,,3,"['2', '6', '13']"
1,4,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf,0,,0,,0,
2,5,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597052895075:11a92c6f-707d-4024-8445-d8ed8a6fbd1c,1597052895075:35a21461-0c46-4cff-9f86-ad01ac8ddfa1,0,,0,,0,
3,10,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597052895074:df3d5053-bc67-47e3-8262-2b02fe32b327,1597052895074:f5b385fd-c5df-4aba-8463-9ba117b10261,0,,1,['4'],0,
4,12,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597052895073:5539cd10-0c6a-4759-9483-14d20222f01b,1597052895073:6a722675-16a5-4d6f-9d1c-69cda22b5730,0,,0,,0,
5,13,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597052895073:4064ff05-b3b6-4a45-b61e-dcfd73e8dc3e,1597052895073:b68c92d2-5100-406c-b1a6-6e2bfb95a380,0,,0,,0,
6,14,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597052895068:fe9f39ca-4a3b-4de9-b04e-792788658c03,1597052895068:54ae39e8-55f3-418b-b435-e10db6574229,0,,0,,0,
7,15,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597052895068:fe9f39ca-4a3b-4de9-b04e-792788658c03,1597052895068:54ae39e8-55f3-418b-b435-e10db6574229,0,,0,,0,
8,16,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597052895068:d16288a6-e232-4fdb-b87c-0c9227ad82fa,1597052895068:ed7d59fd-8e53-49a4-a662-4c5b7615540d,0,,0,,0,
9,17,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597052895068:d16288a6-e232-4fdb-b87c-0c9227ad82fa,1597052895068:ed7d59fd-8e53-49a4-a662-4c5b7615540d,0,,0,,0,
10,18,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597052895063:058ce25a-1c29-4561-ad00-afc5d8db8525,1597052895063:9afac87c-f2e6-4128-a90f-48375117b26d,0,,0,,0,
11,20,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597052895015:72664a86-8ca0-4b7d-b949-6d2838f2acab,1597052895016:76c4a492-4c5e-4f80-9ac4-366f1086375e,0,,0,,0,
12,21,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597052895010:9221fc23-2612-4eba-9357-a0e191fcd2ca,1597052895011:7414cf90-206c-4102-8ef9-2722c58ebd1b,0,,0,,0,
13,22,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597052895003:f90ea525-cf8e-42db-9833-32cd85ca43e5,1597052895003:c1f5f3d8-e268-4de9-9289-005d4b5c841e,0,,0,,0,
