,size,isEmpty,peek_obj_type,calledMethod,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",x,x,x,x,No,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf
2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",No,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf
3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""pop""",No,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf
4,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf
5,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",Yes,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf
6,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf
7,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""",Yes,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf
8,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""pop""",Yes,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf
16,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597052895075:11a92c6f-707d-4024-8445-d8ed8a6fbd1c,1597052895075:90b790d1-2f06-4103-aa49-4f7d2584741c
25,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597052895075:11a92c6f-707d-4024-8445-d8ed8a6fbd1c,1597052895075:71b24b41-7052-406d-87df-6644abadf747
33,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""",Yes,1597052895075:11a92c6f-707d-4024-8445-d8ed8a6fbd1c,1597052895075:35a21461-0c46-4cff-9f86-ad01ac8ddfa1
42,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",x,x,x,x,No,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:98399871-d333-4dc3-882b-83c1793aaada
43,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:98399871-d333-4dc3-882b-83c1793aaada
44,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""",No,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:98399871-d333-4dc3-882b-83c1793aaada
45,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:98399871-d333-4dc3-882b-83c1793aaada
47,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:98399871-d333-4dc3-882b-83c1793aaada
48,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:98399871-d333-4dc3-882b-83c1793aaada
52,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""pop""",No,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:8f62f39e-3cc3-45f1-9f5f-255ae2359e85
53,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",Yes,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:8f62f39e-3cc3-45f1-9f5f-255ae2359e85
60,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""pop""",No,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:0a46aaf7-2c77-40cb-a16a-7bd6b91e146f
