,Unnamed: 0,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
22,170,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058050:1fe6835e-cfcb-4ce6-b1f1-2ec233b4d3f5,0,,2,"['0', '2']",0,
23,172,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058050:1fe6835e-cfcb-4ce6-b1f1-2ec233b4d3f5,0,,1,['0'],0,
24,241,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",No,1596542058049:f2249ead-0588-4818-bcd8-044c219e2d7d,1596542058049:99ebb205-ada5-45b1-b638-e856d685d0c8,0,,2,"['2', '3']",0,
25,327,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:d87cad9f-a6db-4ce5-a7a6-b95a5eb5ff70,0,,2,"['2', '3']",0,
26,328,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:d87cad9f-a6db-4ce5-a7a6-b95a5eb5ff70,0,,1,['2'],0,
27,329,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:d87cad9f-a6db-4ce5-a7a6-b95a5eb5ff70,0,,1,['3'],0,
28,427,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",No,1596542058048:27d47d41-38c0-4d5e-bae6-a95336e64357,1596542058048:c5830c5d-ce01-43ce-9c3c-989ffbc1a3ba,0,,2,"['0', '2']",0,
29,505,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","calledMethod == ""push""",No,1596542058047:25beca70-5b75-46d7-834e-39c99274bcfc,1596542058047:f50cc9c6-aa50-4a00-8cab-0f576143d477,0,,2,"['1', '2']",0,
30,513,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",No,1596542058047:25beca70-5b75-46d7-834e-39c99274bcfc,1596542058047:c37e2e7c-9733-4e5d-827f-46e2ecdc6efb,0,,1,['0'],0,
31,516,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","calledMethod == ""push""",No,1596542058047:25beca70-5b75-46d7-834e-39c99274bcfc,1596542058047:c37e2e7c-9733-4e5d-827f-46e2ecdc6efb,0,,2,"['2', '3']",0,
