,index,size,isEmpty,peek_obj_type,calledMethod,pushInput,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,4,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class java.lang.String""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",Yes,1597047440148:f9994077-3ad2-452f-9a29-7a5f51a994a2,1597047440148:04d9a8f6-7033-4fb7-9c92-6e4b5e717f3f,36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']",4,"['163', '469', '519', '660']",36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']"
1,5,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597047440148:f9994077-3ad2-452f-9a29-7a5f51a994a2,1597047440148:04d9a8f6-7033-4fb7-9c92-6e4b5e717f3f,38,"['13', '60', '80', '87', '91', '93', '99', '103', '121', '124', '162', '180', '194', '196', '198', '216', '220', '225', '302', '304', '319', '325', '327', '397', '429', '434', '519', '534', '591', '595', '599', '612', '616', '618', '645', '653', '660', '671']",4,"['195', '554', '565', '587']",38,"['13', '60', '80', '87', '91', '93', '99', '103', '121', '124', '162', '180', '194', '196', '198', '216', '220', '225', '302', '304', '319', '325', '327', '397', '429', '434', '519', '534', '591', '595', '599', '612', '616', '618', '645', '653', '660', '671']"
2,11,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class java.lang.String""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597047440148:7a9ee27d-27ac-4836-9eb7-aa395a1876ca,1597047440148:9a6e0fe2-e516-4ea8-996c-8de7ffd4b69c,36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']",4,"['163', '469', '519', '660']",36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']"
3,12,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class java.lang.String""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597047440148:7a9ee27d-27ac-4836-9eb7-aa395a1876ca,1597047440148:13710044-0f48-427d-9e32-4023332a695b,36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']",4,"['163', '469', '519', '660']",36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']"
4,14,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class java.lang.String""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",Yes,1597047440148:7a9ee27d-27ac-4836-9eb7-aa395a1876ca,1597047440148:0d4362c1-19aa-43e6-b009-fcd863501a7a,36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']",4,"['163', '469', '519', '660']",36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']"
5,16,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class java.lang.String""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""",Yes,1597047440148:7a9ee27d-27ac-4836-9eb7-aa395a1876ca,1597047440148:0a18ceb7-4f00-4d39-aa28-f4ac479abd4d,36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']",4,"['163', '469', '519', '660']",36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']"
6,19,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597047440148:01ab08a1-14f6-4b26-a8ee-97d37243d25a,1597047440148:5771131c-9113-4827-9a7e-1adcd148b12c,45,"['13', '28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '121', '124', '162', '176', '180', '216', '220', '223', '225', '227', '231', '242', '246', '256', '285', '299', '302', '304', '306', '319', '325', '327', '392', '429', '434', '470', '534', '591', '595', '612', '614', '647', '671']",16,"['195', '196', '197', '198', '322', '519', '520', '554', '565', '587', '616', '617', '618', '645', '653', '660']",45,"['13', '28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '121', '124', '162', '176', '180', '216', '220', '223', '225', '227', '231', '242', '246', '256', '285', '299', '302', '304', '306', '319', '325', '327', '392', '429', '434', '470', '534', '591', '595', '612', '614', '647', '671']"
7,20,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""pop""",Yes,1597047440148:01ab08a1-14f6-4b26-a8ee-97d37243d25a,1597047440148:5771131c-9113-4827-9a7e-1adcd148b12c,12,"['93', '99', '121', '124', '194', '302', '304', '319', '397', '591', '595', '599']",2,"['195', '587']",12,"['93', '99', '121', '124', '194', '302', '304', '319', '397', '591', '595', '599']"
8,32,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class java.lang.String""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597047440144:a18c1f19-ce5e-4604-9ac8-67d1553b595b,1597047440144:47abac59-b610-48bf-baf7-40d31ba2715e,36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']",4,"['163', '469', '519', '660']",36,"['28', '60', '80', '83', '87', '89', '91', '93', '99', '103', '119', '124', '162', '197', '198', '220', '223', '225', '231', '242', '256', '304', '306', '319', '327', '349', '392', '434', '520', '534', '554', '587', '595', '614', '647', '671']"
9,37,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""pop""",Yes,1597047440144:a18c1f19-ce5e-4604-9ac8-67d1553b595b,1597047440144:38c23d6f-efec-451d-bf49-5fb76bd19489,18,"['93', '99', '121', '124', '227', '231', '242', '256', '285', '299', '302', '304', '306', '319', '392', '591', '595', '647']",4,"['195', '322', '520', '587']",18,"['93', '99', '121', '124', '227', '231', '242', '256', '285', '299', '302', '304', '306', '319', '392', '591', '595', '647']"
