,Unnamed: 0,size,isEmpty,peek_obj_type,calledMethod,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",x,x,x,x,Yes,1597050830315:d9d7c290-d201-4637-a0ea-df378184cd1c,1597050830315:66f252e1-578a-4ee9-95e0-447339483317,7,"['5', '11', '14', '74', '93', '310', '405']",0,,7,"['5', '11', '14', '74', '93', '310', '405']"
1,2,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597050830315:d9d7c290-d201-4637-a0ea-df378184cd1c,1597050830315:66f252e1-578a-4ee9-95e0-447339483317,20,"['0', '5', '7', '11', '14', '40', '46', '74', '82', '93', '99', '112', '174', '203', '215', '232', '286', '392', '405', '434']",0,,20,"['0', '5', '7', '11', '14', '40', '46', '74', '82', '93', '99', '112', '174', '203', '215', '232', '286', '392', '405', '434']"
2,8,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597050830315:a7ec5d7b-ffd8-4acb-a8ad-a6e0dac16ffa,1597050830315:ec49afab-ebbb-4b1a-b982-5b53c5a56259,46,"['0', '3', '4', '7', '16', '17', '38', '40', '42', '54', '64', '80', '103', '126', '135', '167', '169', '170', '193', '203', '204', '207', '259', '261', '269', '273', '278', '286', '292', '294', '296', '301', '307', '312', '319', '328', '339', '341', '343', '386', '392', '414', '439', '446', '449', '451']",6,"['6', '20', '21', '149', '287', '310']",46,"['0', '3', '4', '7', '16', '17', '38', '40', '42', '54', '64', '80', '103', '126', '135', '167', '169', '170', '193', '203', '204', '207', '259', '261', '269', '273', '278', '286', '292', '294', '296', '301', '307', '312', '319', '328', '339', '341', '343', '386', '392', '414', '439', '446', '449', '451']"
3,19,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",x,x,x,x,No,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,0,,31,"['22', '23', '24', '74', '75', '85', '86', '87', '88', '89', '90', '91', '92', '93', '133', '134', '148', '233', '234', '235', '311', '354', '369', '370', '371', '372', '373', '374', '375', '405', '452']",0,
4,20,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",Yes,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,64,"['5', '11', '14', '21', '44', '52', '57', '61', '62', '74', '80', '93', '102', '103', '106', '117', '131', '132', '135', '138', '139', '140', '147', '170', '175', '205', '206', '207', '237', '242', '243', '251', '262', '269', '270', '284', '290', '295', '296', '300', '301', '310', '313', '318', '319', '322', '337', '342', '343', '353', '361', '362', '368', '383', '405', '420', '422', '426', '428', '430', '436', '442', '450', '451']",43,"['39', '40', '53', '54', '113', '127', '128', '129', '142', '143', '144', '192', '208', '209', '210', '211', '212', '260', '261', '276', '285', '286', '297', '298', '299', '324', '325', '326', '327', '380', '381', '392', '393', '404', '406', '407', '408', '409', '410', '411', '412', '448', '449']",64,"['5', '11', '14', '21', '44', '52', '57', '61', '62', '74', '80', '93', '102', '103', '106', '117', '131', '132', '135', '138', '139', '140', '147', '170', '175', '205', '206', '207', '237', '242', '243', '251', '262', '269', '270', '284', '290', '295', '296', '300', '301', '310', '313', '318', '319', '322', '337', '342', '343', '353', '361', '362', '368', '383', '405', '420', '422', '426', '428', '430', '436', '442', '450', '451']"
5,21,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",No,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,25,"['0', '7', '40', '95', '98', '99', '109', '111', '112', '141', '183', '186', '189', '190', '203', '213', '214', '215', '286', '288', '332', '335', '336', '392', '434']",43,"['22', '23', '24', '74', '75', '81', '82', '85', '86', '87', '88', '89', '90', '91', '92', '93', '133', '134', '148', '162', '163', '164', '172', '173', '174', '231', '232', '233', '234', '235', '311', '354', '358', '359', '369', '370', '371', '372', '373', '374', '375', '405', '452']",25,"['0', '7', '40', '95', '98', '99', '109', '111', '112', '141', '183', '186', '189', '190', '203', '213', '214', '215', '286', '288', '332', '335', '336', '392', '434']"
6,22,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,0,,62,"['22', '23', '24', '39', '40', '74', '75', '85', '86', '87', '88', '89', '90', '91', '92', '93', '113', '129', '133', '134', '142', '143', '144', '148', '192', '208', '209', '210', '211', '212', '233', '234', '235', '276', '285', '286', '297', '298', '299', '311', '354', '369', '370', '371', '372', '373', '374', '375', '380', '381', '392', '393', '404', '405', '406', '407', '408', '409', '410', '411', '412', '452']",0,
7,30,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597050830314:f1612ca6-7fa4-4ad7-950f-4c7dddc7484f,1597050830314:ef2d32af-432a-4096-ab74-1fff11aaffbc,0,,12,"['2', '3', '4', '6', '15', '16', '18', '149', '203', '204', '287', '310']",0,
8,284,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597050830307:18ec4504-96a4-46bf-b713-dc92279c7651,1597050830307:facb19e9-ca66-46b2-bb35-23e9b0f11fdc,0,,6,"['13', '19', '46', '203', '204', '287']",0,
9,285,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",No,1597050830307:18ec4504-96a4-46bf-b713-dc92279c7651,1597050830307:facb19e9-ca66-46b2-bb35-23e9b0f11fdc,0,,44,"['15', '22', '23', '24', '25', '26', '74', '75', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '133', '134', '148', '150', '151', '152', '153', '154', '155', '229', '230', '233', '234', '235', '311', '354', '369', '370', '371', '372', '373', '374', '375', '405', '452']",0,
10,630,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",No,1597050830298:d4c99c8e-1314-41dc-9beb-34fdc2b09ea7,1597050830298:529094d7-3f9c-4efe-9dac-cd4a62b515b8,0,,87,"['22', '23', '24', '25', '26', '74', '75', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '97', '98', '99', '108', '109', '110', '111', '112', '133', '134', '141', '148', '150', '151', '152', '153', '154', '155', '162', '163', '164', '172', '173', '174', '182', '183', '184', '185', '186', '187', '188', '189', '190', '191', '203', '213', '214', '215', '229', '230', '231', '232', '233', '234', '235', '288', '311', '332', '333', '334', '335', '336', '354', '358', '359', '369', '370', '371', '372', '373', '374', '375', '405', '434', '452']",0,
11,1193,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",No,1597050830285:1e2e8d71-25d5-4341-8ea7-b9b483da973c,1597050830285:d214372c-7ce0-480c-a888-cee38977bc3a,0,,88,"['15', '22', '23', '24', '25', '26', '74', '75', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '97', '98', '99', '108', '109', '110', '111', '112', '133', '134', '141', '148', '150', '151', '152', '153', '154', '155', '162', '163', '164', '172', '173', '174', '182', '183', '184', '185', '186', '187', '188', '189', '190', '191', '203', '213', '214', '215', '229', '230', '231', '232', '233', '234', '235', '288', '311', '332', '333', '334', '335', '336', '354', '358', '359', '369', '370', '371', '372', '373', '374', '375', '405', '434', '452']",0,
12,1194,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597050830285:1e2e8d71-25d5-4341-8ea7-b9b483da973c,1597050830285:d214372c-7ce0-480c-a888-cee38977bc3a,0,,43,"['39', '40', '74', '75', '88', '89', '90', '91', '92', '93', '113', '129', '133', '134', '142', '143', '144', '148', '192', '208', '209', '210', '211', '212', '276', '285', '286', '297', '298', '299', '380', '381', '392', '393', '404', '405', '406', '407', '408', '409', '410', '411', '412']",0,
13,10269,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""",x,x,x,x,No,1597050829886:d68fc0c6-0dd5-4c52-9215-13ab4571d628,1597050829886:3e90626d-2328-4f68-bad3-4e3c0f690c52,0,,12,"['74', '75', '88', '89', '90', '91', '92', '93', '133', '134', '148', '405']",0,
