,Unnamed: 0,size,isEmpty,peek_obj_type,calledMethod,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",x,x,x,x,Yes,1597060821694:daaebc60-848c-440b-ac0a-256cd6cc8e8d,1597060821694:d3bc8730-e255-48f7-b858-b2f7cbff8e66,7,"['5', '11', '14', '74', '93', '310', '405']",0,,7,"['5', '11', '14', '74', '93', '310', '405']"
1,2,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597060821694:daaebc60-848c-440b-ac0a-256cd6cc8e8d,1597060821694:d3bc8730-e255-48f7-b858-b2f7cbff8e66,20,"['0', '5', '7', '11', '14', '40', '46', '74', '82', '93', '99', '112', '174', '203', '215', '232', '286', '392', '405', '434']",0,,20,"['0', '5', '7', '11', '14', '40', '46', '74', '82', '93', '99', '112', '174', '203', '215', '232', '286', '392', '405', '434']"
2,7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",x,x,x,x,No,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,0,,31,"['22', '23', '24', '74', '75', '85', '86', '87', '88', '89', '90', '91', '92', '93', '133', '134', '148', '233', '234', '235', '311', '354', '369', '370', '371', '372', '373', '374', '375', '405', '452']",0,
3,8,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",Yes,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,64,"['5', '11', '14', '21', '44', '52', '57', '61', '62', '74', '80', '93', '102', '103', '106', '117', '131', '132', '135', '138', '139', '140', '147', '170', '175', '205', '206', '207', '237', '242', '243', '251', '262', '269', '270', '284', '290', '295', '296', '300', '301', '310', '313', '318', '319', '322', '337', '342', '343', '353', '361', '362', '368', '383', '405', '420', '422', '426', '428', '430', '436', '442', '450', '451']",43,"['39', '40', '53', '54', '113', '127', '128', '129', '142', '143', '144', '192', '208', '209', '210', '211', '212', '260', '261', '276', '285', '286', '297', '298', '299', '324', '325', '326', '327', '380', '381', '392', '393', '404', '406', '407', '408', '409', '410', '411', '412', '448', '449']",64,"['5', '11', '14', '21', '44', '52', '57', '61', '62', '74', '80', '93', '102', '103', '106', '117', '131', '132', '135', '138', '139', '140', '147', '170', '175', '205', '206', '207', '237', '242', '243', '251', '262', '269', '270', '284', '290', '295', '296', '300', '301', '310', '313', '318', '319', '322', '337', '342', '343', '353', '361', '362', '368', '383', '405', '420', '422', '426', '428', '430', '436', '442', '450', '451']"
4,9,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",No,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,25,"['0', '7', '40', '95', '98', '99', '109', '111', '112', '141', '183', '186', '189', '190', '203', '213', '214', '215', '286', '288', '332', '335', '336', '392', '434']",43,"['22', '23', '24', '74', '75', '81', '82', '85', '86', '87', '88', '89', '90', '91', '92', '93', '133', '134', '148', '162', '163', '164', '172', '173', '174', '231', '232', '233', '234', '235', '311', '354', '358', '359', '369', '370', '371', '372', '373', '374', '375', '405', '452']",25,"['0', '7', '40', '95', '98', '99', '109', '111', '112', '141', '183', '186', '189', '190', '203', '213', '214', '215', '286', '288', '332', '335', '336', '392', '434']"
5,10,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,0,,62,"['22', '23', '24', '39', '40', '74', '75', '85', '86', '87', '88', '89', '90', '91', '92', '93', '113', '129', '133', '134', '142', '143', '144', '148', '192', '208', '209', '210', '211', '212', '233', '234', '235', '276', '285', '286', '297', '298', '299', '311', '354', '369', '370', '371', '372', '373', '374', '375', '380', '381', '392', '393', '404', '405', '406', '407', '408', '409', '410', '411', '412', '452']",0,
6,37,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597060821693:a4807674-f4ab-4f19-b546-c91fd85ff9c8,1597060821693:75cf696b-3ebe-44e4-b5a6-16ff4ab10a09,46,"['0', '3', '4', '7', '16', '17', '38', '40', '42', '54', '64', '80', '103', '126', '135', '167', '169', '170', '193', '203', '204', '207', '259', '261', '269', '273', '278', '286', '292', '294', '296', '301', '307', '312', '319', '328', '339', '341', '343', '386', '392', '414', '439', '446', '449', '451']",6,"['6', '20', '21', '149', '287', '310']",46,"['0', '3', '4', '7', '16', '17', '38', '40', '42', '54', '64', '80', '103', '126', '135', '167', '169', '170', '193', '203', '204', '207', '259', '261', '269', '273', '278', '286', '292', '294', '296', '301', '307', '312', '319', '328', '339', '341', '343', '386', '392', '414', '439', '446', '449', '451']"
7,65,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597060821693:2c7fe8f1-0f96-41f8-85a0-72ca3cbdf148,1597060821693:92853ea3-f95a-4fa3-aecd-62013539557c,0,,10,"['2', '3', '4', '6', '15', '16', '18', '203', '204', '310']",0,
8,235,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""",Yes,1597060821688:d46075a5-875d-4107-8177-b8e796b79b32,1597060821688:80e57607-127d-460c-b534-79f28022e705,0,,6,"['13', '19', '46', '203', '204', '287']",0,
9,236,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",No,1597060821688:d46075a5-875d-4107-8177-b8e796b79b32,1597060821688:80e57607-127d-460c-b534-79f28022e705,0,,44,"['15', '22', '23', '24', '25', '26', '74', '75', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '133', '134', '148', '150', '151', '152', '153', '154', '155', '229', '230', '233', '234', '235', '311', '354', '369', '370', '371', '372', '373', '374', '375', '405', '452']",0,
